"NACE Rev.2.1";"NAF 2025 sous-classes";Intitulés
;43.21H;Travaux d'installation électrique sur la voie
43.22;;Travaux de plomberie et installation de chauffage et de conditionnement d’air
;43.22G;Travaux d'installation d'eau et de gaz en tous locaux
;43.22H;Travaux d'installation d'équipements thermiques et de climatisation
43.23;43.23Y;Mise en place de l’isolation
43.24;43.24Y;Autres travaux d’installation
43.3;;Travaux de finition
43.31;43.31Y;Travaux de plâtrerie
43.32;;Travaux de menuiserie
;43.32G;Travaux de menuiserie bois et PVC
;43.32H;Travaux de menuiserie métallique
43.33;43.33Y;Travaux de revêtement des sols et des murs
43.34;;Travaux de peinture et vitrerie
;43.34G;Travaux de peinture
;43.34H;Travaux de vitrerie
43.35;43.35Y;Autres travaux de finition
43.4;;Travaux de construction spécialisés dans la construction de bâtiments
43.41;;Travaux de couverture
;43.41G;Travaux de charpente
;43.41H;Travaux de couverture par éléments
;43.41J;Travaux d'étanchéification pour la toiture
43.42;;Autres travaux de construction spécialisés dans la construction de bâtiments
;43.42G;Travaux de montage d’éléments de construction préfabriqués pour bâtiments, en acier
;43.42H;Travaux de montage d’éléments de construction préfabriqués pour bâtiments, en bois
;43.42J;Autres travaux de construction spécialisés dans la construction de bâtiments n.c.a.
43.5;;Travaux de construction spécialisés en génie civil
43.50;43.50Y;Travaux de construction spécialisés en génie civil
43.6;;Activités de service d’intermédiation pour des travaux de construction spécialisés
43.60;43.60Y;Activités de service d’intermédiation pour des travaux de construction spécialisés
43.9;;Autres travaux de construction spécialisés
43.91;43.91Y;Travaux de maçonnerie et de pose de briques
43.99;;Autres travaux de construction spécialisés n.c.a.
;43.99G;Location avec opérateur d’équipement de construction
;43.99H;Tous les autres travaux de construction spécialisés n.c.a.
G;;COMMERCE
46;;Commerce de gros
46.1;;Intermédiaires du commerce de gros
46.11;46.11Y;Activités d’intermédiaire du commerce de gros en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis
46.12;46.12Y;Activités d’intermédiaire du commerce de gros en combustibles, minerais, métaux et produits chimiques
46.13;46.13Y;Activités d’intermédiaire du commerce de gros en bois et matériaux de construction
46.14;46.14Y;Activités d’intermédiaire du commerce de gros en machines, équipements industriels, navires et avions
46.15;46.15Y;Activités d’intermédiaire du commerce de gros en meubles, biens domestiques et quincaillerie
46.16;46.16Y;Activités d’intermédiaire du commerce de gros en textiles, habillement, fourrures, chaussures et articles en cuir
46.17;;Activités d’intermédiaire du commerce de gros en denrées, boissons et tabac
;46.17G;Activités d’intermédiation des centrales d’achat alimentaires
;46.17H;Autres activités d'intermédiaire du commerce de gros en denrées, boissons et tabac
46.18;46.18Y;Activités d’intermédiaire spécialisé dans le commerce de gros d’autres produits spécifiques
46.19;;Activités d’intermédiaire non spécialisé du commerce de gros
;46.19G;Activités d’intermédiation des centrales d’achat non spécialisées
;46.19H;Autres activités d'intermédiaire non spécialisé du commerce de gros
46.2;;Commerce de gros de produits agricoles bruts et d’animaux vivants
46.21;46.21Y;Commerce de gros de céréales, de tabac non manufacturé, de semences et d’aliments pour animaux
46.22;46.22Y;Commerce de gros de fleurs et de plantes
46.23;46.23Y;Commerce de gros d’animaux vivants
46.24;46.24Y;Commerce de gros de cuirs et de peaux
46.3;;Commerce de gros de produits alimentaires, de boissons et de produits à base de tabac
46.31;46.31Y;Commerce de gros de fruits et légumes
46.32;;Commerce de gros de viande, de produits à base de viande, de poisson et de produits à base de poisson
;46.32G;Commerce de gros de viandes et de produits à base de viande
;46.32H;Commerce de gros de poissons, crustacés et mollusques et de produits à base de poisson
46.33;46.33Y;Commerce de gros de produits laitiers, œufs, huiles et matières grasses comestibles
46.34;46.34Y;Commerce de gros de boissons
46.35;46.35Y;Commerce de gros de produits à base de tabac
46.36;46.36Y;Commerce de gros de sucre, chocolat et confiserie
46.37;46.37Y;Commerce de gros de café, thé, cacao et épices
46.38;46.38Y;Commerce de gros d’autres denrées alimentaires
46.39;46.39Y;Commerce de gros non spécialisé de denrées, boissons et tabac
46.4;;Commerce de gros de biens domestiques
46.41;46.41Y;Commerce de gros de textiles
46.42;46.42Y;Commerce de gros d’habillement et de chaussures
46.43;;Commerce de gros d’appareils électroménagers
;46.43G;Commerce de gros d’appareils de génie climatique
;46.43H;Commerce de gros d’autres appareils électroménagers
46.44;46.44Y;Commerce de gros de vaisselle, verrerie et produits d’entretien
46.45;46.45Y;Commerce de gros de parfumerie et de produits de beauté
46.46;46.46Y;Commerce de gros de produits pharmaceutiques et médicaux
46.47;46.47Y;Commerce de gros de meubles à usage domestique, de bureau et de magasin, de tapis et d’appareils d’éclairage
46.48;46.48Y;Commerce de gros d’articles d’horlogerie et de bijouterie
46.49;46.49Y;Commerce de gros d’autres biens domestiques
46.5;;Commerce de gros d’équipements de l’information et de la communication
46.50;46.50Y;Commerce de gros d’équipements de l’information et de la communication
46.6;;Commerce de gros d’autres machines, équipements et fournitures
46.61;46.61Y;Commerce de gros de matériel agricole
46.62;46.62Y;Commerce de gros de machines-outils
46.63;46.63Y;Commerce de gros de machines pour l’extraction, la construction et le génie civil
46.64;;Commerce de gros d’autres machines et équipements
;46.64G;Commerce de gros d’autre matériel électrique
;46.64H;Commerce de gros de matériels de manutention et de levage
;46.64J;Commerce de gros d’autres machines et équipements pour l’industrie et le transport
;46.64K;Commerce de gros d’autres machines et équipements pour le commerce et les services
46.7;;Commerce de gros de véhicules automobiles, de motocycles et de leurs pièces et accessoires
46.71;;Commerce de gros de véhicules automobiles
;46.71G;Commerce de gros de véhicules automobiles légers (moins de 3,5 tonnes)
;46.71H;Commerce de gros d’autres véhicules automobiles
46.72;46.72Y;Commerce de gros de pièces et accessoires de véhicules automobiles
46.73;46.73Y;Commerce de gros de motocycles et de pièces et accessoires pour motocycles
46.8;;Autre commerce de gros spécialisé
46.81;46.81Y;Commerce de gros de combustibles solides, liquides et gazeux et de produits annexes
46.82;46.82Y;Commerce de gros de minerais et de métaux
46.83;;Commerce de gros de bois, de matériaux de construction et d’appareils sanitaires
;46.83G;Commerce de gros de bois et matériaux de construction
;46.83H;Commerce de gros d’appareils sanitaires
;46.83J;Commerce de gros de matériaux de décoration
46.84;;Commerce de gros de quincaillerie et fournitures pour plomberie et chauffage
;46.84G;Commerce de gros de quincaillerie et de matériel de bricolage
;46.84H;Commerce de gros de fournitures pour plomberie et chauffage
46.85;46.85Y;Commerce de gros de produits chimiques
46.86;46.86Y;Commerce de gros d’autres produits intermédiaires
46.87;46.87Y;Commerce de gros de déchets et débris
46.89;46.89Y;Autre commerce de gros spécialisé n.c.a.
46.9;;Commerce de gros non spécialisé
46.90;46.90Y;Commerce de gros non spécialisé
47;;Commerce de détail
47.1;;Commerce de détail non spécialisé
47.11;;Commerce de détail non spécialisé à prédominance alimentaire
;47.11G;Commerce de détail non spécialisé à prédominance alimentaire en magasin de moins de 120 m²
;47.11H;Commerce de détail non spécialisé à prédominance alimentaire en magasin de 120 à 400 m² (supérette)
;47.11J;Commerce de détail non spécialisé à prédominance alimentaire en magasin de 400 à 2500 m² (supermarché)
;47.11K;Commerce de détail non spécialisé à prédominance alimentaire en magasin de plus de 2500 m² (hypermarché)
;47.11L;Commerce de détail non spécialisé à prédominance alimentaire hors magasin
47.12;;Autre commerce de détail non spécialisé
;47.12G;Autre commerce de détail non spécialisé en magasin de plus de 2500 m² (grand magasin)
;47.12H;Autre commerce de détail non spécialisé en magasin de moins de 2500 m² ou hors magasin
47.2;;Commerce de détail de produits alimentaires, de boissons et de tabac
47.21;47.21Y;Commerce de détail de fruits et légumes
47.22;47.22Y;Commerce de détail de viande et de produits à base de viande
47.23;47.23Y;Commerce de détail de poisson, de crustacés et de mollusques
47.24;47.24Y;Commerce de détail de pain, de pâtisserie et de confiserie
47.25;47.25Y;Commerce de détail de boissons
47.26;47.26Y;Commerce de détail de produits à base de tabac
47.27;;Commerce de détail d’autres produits alimentaires
;47.27G;Commerce de détail de produits laitiers et d'œufs
;47.27H;Commerce de détail spécialisé d’autres produits d’épicerie et d’autres produits alimentaires n.c.a.
47.3;;Commerce de détail de carburants
47.30;47.30Y;Commerce de détail de carburants
47.4;;Commerce de détail d’équipements de l’information et de la communication
47.40;47.40Y;Commerce de détail d’équipements de l’information et de la communication
47.5;;Commerce de détail d’autres équipements du foyer
47.51;47.51Y;Commerce de détail de textiles
47.52;;Commerce de détail de quincaillerie, de matériaux de construction et de bricolage, de peinture et de verre
;47.52G;Commerce de détail de quincaillerie, de matériaux de construction et de bricolage, de peinture et de verre en magasin de moins de 400 m²
;47.52H;Commerce de détail de quincaillerie, de matériaux de construction et de bricolage, de peinture et de verre en magasin de plus de 400 m² ou hors magasin
47.53;47.53Y;Commerce de détail de tapis, moquettes et revêtements de murs et de sols
47.54;47.54Y;Commerce de détail d’appareils électroménagers
47.55;;Commerce de détail de meubles, d’appareils d’éclairage, de vaisselle et d’autres biens domestiques
;47.55G;Commerce de détail de meubles
;47.55H;Commerce de détail d'appareils d’éclairage, de vaisselle et d’autres équipements du foyer
47.6;;Commerce de détail de biens culturels et de loisirs
47.61;47.61Y;Commerce de détail de livres
47.62;47.62Y;Commerce de détail de journaux et autres publications périodiques et de papeterie
47.63;47.63Y;Commerce de détail d’articles de sport
47.64;47.64Y;Commerce de détail de jeux et jouets
47.69;47.69Y;Commerce de détail de biens culturels et de loisirs n.c.a.
47.7;;Commerce de détail d’autres biens, à l’exception des automobiles et des motocycles
47.71;47.71Y;Commerce de détail d’habillement
47.72;;Commerce de détail de chaussures et d’articles en cuir
;47.72G;Commerce de détail de chaussures
;47.72H;Commerce de détail de maroquinerie et d'articles de voyage
47.73;47.73Y;Commerce de détail de produits pharmaceutiques
47.74;;Commerce de détail d’articles médicaux et orthopédiques
;47.74G;Commerce de détail d'optique
;47.74H;Commerce de détail d’autres articles médicaux et orthopédiques
47.75;47.75Y;Commerce de détail de parfumerie et de produits de beauté
47.76;47.76Y;Commerce de détail de fleurs, plantes, engrais, animaux de compagnie et aliments pour ces animaux
47.77;47.77Y;Commerce de détail d’articles d’horlogerie et de bijouterie
47.78;;Commerce de détail d’autres biens neufs
;47.78G;Commerce de détail de charbons et combustibles
;47.78H;Commerce de détail spécialisé d’autres biens neufs n.c.a.
47.79;;Commerce de détail de biens d’occasion
;47.79G;Commerce de détail d’antiquités et livres anciens
;47.79H;Commerce de détail d’autres biens d’occasion
47.8;;Commerce de détail d’automobiles, de motocycles et de leurs pièces et accessoires
47.81;47.81Y;Commerce de détail de véhicules automobiles
47.82;47.82Y;Commerce de détail de pièces et accessoires de véhicules automobiles
47.83;47.83Y;Commerce de détail de motocycles et de pièces et accessoires de motocycles
47.9;;Activités de service d’intermédiation pour le commerce de détail
47.91;47.91Y;Activités de service d’intermédiation pour le commerce de détail non spécialisé
47.92;;Activités de service d’intermédiation pour le commerce de détail spécialisé
;47.92G;Activités de service d’intermédiation pour le commerce de détail de véhicules automobiles
;47.92H;Activités de service d’intermédiation pour le commerce de détail de journaux et de produits à base de tabac
;47.92J;Activités de service d'intermédiation pour le commerce de détail spécialisé d’autres biens
H;;TRANSPORTS ET ENTREPOSAGE
49;;Transports terrestres et transports par conduites
49.1;;Transport ferroviaire de voyageurs
49.11;49.11Y;Transport ferroviaire lourd de voyageurs
49.12;49.12Y;Autre transport ferroviaire de voyageurs
49.2;;Transport ferroviaire de fret
49.20;49.20Y;Transport ferroviaire de fret
49.3;;Autre transport terrestre de voyageurs
49.31;;Transport régulier de voyageurs par route
;49.31G;Transport régulier urbain et suburbain de voyageurs par route
;49.31H;Autre transport régulier de voyageurs par route
49.32;49.32Y;Transport non régulier de voyageurs par route
49.33;;Transport de voyageurs sur demande par véhicule avec chauffeur
;49.33G;Transport de personnes par taxi
;49.33H;Autre transport de personnes sur demande par véhicule avec chauffeur
49.34;49.34Y;Transport de voyageurs par téléphériques et remontées mécaniques
49.39;49.39Y;Autre transport terrestre de voyageurs n.c.a.
49.4;;Transport routier de fret et services de déménagement
49.41;;Transport routier de fret
;49.41G;Transport routier de fret longue distance
;49.41H;Transport routier de fret régional et de proximité
;49.41J;Location de camions avec chauffeur
49.42;49.42Y;Services de déménagement
49.5;;Transport par conduites
49.50;49.50Y;Transport par conduites
50;;Transport par eau
50.1;;Transports maritimes et côtiers de passagers
50.10;50.10Y;Transports maritimes et côtiers de passagers
50.2;;Transports maritimes et côtiers de fret
50.20;50.20Y;Transports maritimes et côtiers de fret
50.3;;Transports fluviaux de passagers
50.30;50.30Y;Transports fluviaux de passagers
50.4;;Transports fluviaux de fret
50.40;50.40Y;Transports fluviaux de fret
51;;Transports aériens
51.1;;Transports aériens de passagers
51.10;51.10Y;Transports aériens de passagers
51.2;;Transports aériens de fret et transports spatiaux
51.21;51.21Y;Transports aériens de fret
51.22;51.22Y;Transports spatiaux
52;;Entreposage et services auxiliaires des transports
52.1;;Entreposage et stockage
52.10;;Entreposage et stockage
;52.10G;Entreposage et stockage frigorifique
;52.10H;Entreposage et stockage non frigorifique
52.2;;Services auxiliaires des transports
52.21;52.21Y;Services auxiliaires des transports terrestres
52.22;52.22Y;Services auxiliaires des transports par eau
52.23;52.23Y;Services auxiliaires des transports aériens
52.24;;Manutention du fret
;52.24G;Manutention portuaire
;52.24H;Manutention non portuaire
52.25;52.25Y;Activités de service logistique
52.26;52.26Y;Autres activités de soutien pour les transports
52.3;;Activités de service d’intermédiation pour les transports
52.31;52.31Y;Activités de service d’intermédiation pour le transport de fret
52.32;52.32Y;Activités de service d’intermédiation pour le transport de passagers
53;;Activités de poste et de courrier
53.1;;Activités de poste dans le cadre d’une obligation de service universel
53.10;53.10Y;Activités de poste dans le cadre d’une obligation de service universel
53.2;;Autres activités de poste et de courrier
53.20;;Autres activités de poste et de courrier
;53.20G;Livraison de colis
;53.20H;Livraison à domicile de repas et autres activités de poste et de courrier n.c.a.
53.3;;Activités de service d’intermédiation pour des activités de poste et de courrier
53.30;53.30Y;Activités de service d’intermédiation pour des activités de poste et de courrier
I;;HÉBERGEMENT ET RESTAURATION
55;;Hébergement
55.1;;Hôtels et hébergement similaire
55.10;55.10Y;Hôtels et hébergement similaire
55.2;;Hébergement touristique et autre hébergement de courte durée
55.20;55.20Y;Hébergement touristique et autre hébergement de courte durée
55.3;;Terrains de camping et parcs pour caravanes ou véhicules de loisirs
55.30;55.30Y;Terrains de camping et parcs pour caravanes ou véhicules de loisirs
55.4;;Activités de service d’intermédiation pour l’hébergement
55.40;55.40Y;Activités de service d’intermédiation pour l’hébergement
55.9;;Autres hébergements
55.90;55.90Y;Autres hébergements
56;;Activités de service de restauration
56.1;;Activités de restaurant et de service de restauration mobile
56.11;;Activités de restaurant
;56.11G;Restauration traditionnelle
;56.11H;Cafétérias et autres libres services
;56.11J;Restauration de type rapide
56.12;56.12Y;Activités de service de restauration mobile
56.2;;Activités de traiteur événementiel, de service contractuel de restauration et autres activités de service de restauration
56.21;56.21Y;Activités de traiteur événementiel
56.22;56.22Y;Activités de service contractuel de restauration et autres activités de service de restauration
56.3;;Activités de débit de boissons
56.30;56.30Y;Activités de débit de boissons
56.4;;Activités de service d’intermédiation pour des activités de service de restauration
56.40;56.40Y;Activités de service d’intermédiation pour des activités de service de restauration
J;;ÉDITION, DIFFUSION ET ACTIVITÉS DE PRODUCTION ET DE DISTRIBUTION DE CONTENU
58;;Activités d’édition
58.1;;Édition de livres, de journaux et autres activités d’édition, à l’exception de l’édition de logiciels
58.11;58.11Y;Édition de livres
58.12;58.12Y;Édition de journaux
58.13;58.13Y;Édition de revues et de périodiques
58.19;58.19Y;Autres activités d’édition, à l’exception de l’édition de logiciels
58.2;;Édition de logiciels
58.21;58.21Y;Édition de jeux vidéo
58.29;58.29Y;Édition d’autres logiciels
59;;"Production de films cinématographiques, de vidéos et de programmes de télévision ; enregistrement sonore et édition musicale"
59.1;;Activités cinématographiques, vidéo et de télévision
59.11;;Production de films cinématographiques, de vidéos et de programmes de télévision
;59.11G;Production de films et programmes audiovisuels
;59.11H;Production de films institutionnels et publicitaires
;59.11J;Production de films pour le cinéma
;59.11K;Production de films et programmes d'animation
59.12;59.12Y;Post-production de films cinématographiques, de vidéos et de programmes de télévision
59.13;59.13Y;Distribution de films cinématographiques et de vidéos
59.14;59.14Y;Projection de films cinématographiques
59.2;;Enregistrement sonore et édition musicale
59.20;59.20Y;Enregistrement sonore et édition musicale
60;;Activités de programmation, de diffusion, d’agence de presse et autres activités de distribution de contenu
60.1;;Radiodiffusion et activités de distribution de contenu audio
60.10;60.10Y;Radiodiffusion et activités de distribution de contenu audio
60.2;;Programmation et diffusion télévisuelle et activités de distribution de contenu vidéo
60.20;;Programmation et diffusion télévisuelle et activités de distribution de contenu vidéo
;60.20G;Programmation de télévision et télédiffusion
;60.20H;Édition de services de médias à la demande
60.3;;Activités d’agence de presse et autres activités de distribution de contenu
60.31;60.31Y;Activités d’agence de presse
60.39;60.39Y;Autres activités de distribution de contenu
K;;TÉLÉCOMMUNICATIONS, PROGRAMMATION INFORMATIQUE, CONSEIL, INFRASTRUCTURE INFORMATIQUE ET AUTRES ACTIVITÉS DE SERVICE INFORMATIQUE
61;;Télécommunications
61.1;;Activités de télécommunications filaires, sans fil et satellitaires
61.10;61.10Y;Activités de télécommunications filaires, sans fil et satellitaires
61.2;;Activités de revente de télécommunications et activités de service d’intermédiation pour les télécommunications
61.20;61.20Y;Activités de revente de télécommunications et activités de service d’intermédiation pour les télécommunications
61.9;;Autres activités de télécommunications
61.90;61.90Y;Autres activités de télécommunications
62;;Programmation, conseil et autres activités informatiques
62.1;;Activités de programmation informatique
62.10;62.10Y;Activités de programmation informatique
62.2;;Activités de conseil en informatique et de gestion d’installations informatiques
62.20;;Activités de conseil en informatique et de gestion d’installations informatiques
;62.20G;Conseil en systèmes et logiciels informatiques
;62.20H;Gestion d'installations informatiques et maintenance de systèmes et d’applications informatiques
62.9;;Autres activités de service informatique
62.90;62.90Y;Autres activités de service informatique
63;;Infrastructure informatique, traitement de données et autres activités de service d’information
63.1;;Infrastructure informatique, traitement de données, hébergement et activités connexes
63.10;63.10Y;Infrastructure informatique, traitement de données, hébergement et activités connexes
63.9;;Activités de portail de recherche sur le web et autres activités de service d’information
63.91;63.91Y;Activités de portail de recherche sur le web
63.92;63.92Y;Autres activités de service d’information
L;;ACTIVITÉS FINANCIÈRES ET D’ASSURANCE
64;;Activités de services financiers, hors assurance et fonds de pension
64.1;;Intermédiation monétaire
64.11;64.11Y;Activités de banque centrale
64.19;64.19Y;Autre intermédiation monétaire
64.2;;Activités de société holding et de conduit de financement
64.21;64.21Y;Activités de société holding
64.22;64.22Y;Activités de conduit de financement
64.3;;Activités de fiducie, fonds et entités financières similaires
64.31;64.31Y;Activités de fonds d’investissement sur le marché monétaire ou non monétaire
64.32;64.32Y;Activités de fiducie, comptes de patrimoine et d’agence
64.9;;Autres activités des services financiers, hors assurance et fonds de pension
64.91;64.91Y;Crédit-bail
64.92;64.92Y;Autre distribution de crédit
64.99;64.99Y;Autres activités des services financiers, hors assurance et fonds de pension, n.c.a.
65;;Assurance, réassurance et fonds de pension, à l’exclusion de la sécurité sociale obligatoire
65.1;;Assurance
65.11;65.11Y;Assurance vie
65.12;65.12Y;Assurances non-vie
65.2;;Réassurance
65.20;65.20Y;Réassurance
65.3;;Fonds de pension
65.30;65.30Y;Fonds de pension
66;;Activités auxiliaires d’activités de services financiers et d’assurance
66.1;;Activités auxiliaires de services financiers, hors assurance et fonds de pension
66.11;66.11Y;Administration de marchés financiers
66.12;66.12Y;Courtage de valeurs mobilières et de matières premières
66.19;;Autres activités auxiliaires de services financiers, hors assurance et fonds de pension
;66.19G;Activités des unités non productives détentrices de patrimoine mobilier
;66.19H;Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite, n.c.a.
66.2;;Activités auxiliaires d’assurance et de fonds de pension
66.21;66.21Y;Évaluation des risques et dommages
66.22;66.22Y;Activités des agents et courtiers d’assurances
66.29;66.29Y;Activités auxiliaires d’assurance et de fonds de pension n.c.a.
66.3;;Activités de gestion de fonds
66.30;66.30Y;Activités de gestion de fonds
M;;ACTIVITÉS IMMOBILIÈRES
68;;Activités immobilières
68.1;;Activités immobilières avec biens propres et promotion de projets immobiliers
68.11;68.11Y;Achat et vente de biens propres
68.12;68.12Y;Promotion immobilière
68.2;;Location et exploitation de biens immobiliers propres ou loués
68.20;;Location et exploitation de biens immobiliers propres ou loués
;68.20G;Location de logements
;68.20H;Location et exploitation d'autres biens immobiliers propres ou loués
68.3;;Activités immobilières pour compte de tiers
68.31;68.31Y;Activités de service d’intermédiation pour les activités immobilières
68.32;;Autres activités immobilières pour compte de tiers
;68.32G;Activités des unités non productives détentrices de patrimoine immobilier
;68.32H;Autres activités immobilières pour compte de tiers n.c.a.
N;;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES
69;;Activités juridiques et comptables
69.1;;Activités juridiques
69.10;69.10Y;Activités juridiques
69.2;;"Activités de comptabilité, de tenue de comptes et d’audit ; conseil fiscal"
69.20;69.20Y;"Activités de comptabilité, de tenue de comptes et d’audit ; conseil fiscal"
70;;Activités des sièges sociaux et conseil de gestion
70.1;;Activités des sièges sociaux
70.10;70.10Y;Activités des sièges sociaux
70.2;;Activités de conseil pour les affaires et autre conseil de gestion
70.20;70.20Y;Activités de conseil pour les affaires et autre conseil de gestion
71;;"Activités d’architecture et d’ingénierie ; activités de contrôle et analyses techniques"
71.1;;Activités d’architecture et d’ingénierie et conseil technique connexe
71.11;71.11Y;Activités d’architecture
71.12;71.12Y;Activités d’ingénierie et de conseil technique connexe
71.2;;Activités de contrôle et analyses techniques
71.20;;Activités de contrôle et analyses techniques
;71.20G;Contrôle technique des véhicules
;71.20H;Analyses, essais et inspections techniques
72;;Recherche et développement scientifique
72.1;;Recherche et développement en sciences physiques et naturelles
72.10;;Recherche et développement en sciences physiques et naturelles
;72.10G;Recherche et développement en biotechnologies
;72.10H;Recherche et développement en autres sciences physiques et naturelles
72.2;;Recherche et développement en sciences humaines et sociales
72.20;72.20Y;Recherche et développement en sciences humaines et sociales
73;;Activités de publicité, d’études de marché et de relations publiques
73.1;;Publicité
73.11;73.11Y;Activités d’agence de publicité
73.12;73.12Y;Régie publicitaire de médias
73.2;;Études de marché et sondages
73.20;73.20Y;Études de marché et sondages
73.3;;Activités de relations publiques et de communication
73.30;73.30Y;Activités de relations publiques et de communication
74;;Autres activités spécialisées, scientifiques et techniques
74.1;;Activités spécialisées de design
74.11;74.11Y;Activités de design pour la création de mode ou les produits industriels
74.12;74.12Y;Activités de design graphique et de communication visuelle
74.13;74.13Y;Activités de design d’intérieur
74.14;74.14Y;Autres activités spécialisées de design
74.2;;Activités photographiques
74.20;74.20Y;Activités photographiques
74.3;;Activités de traduction et d’interprétation
74.30;74.30Y;Activités de traduction et d’interprétation
74.9;;Autres activités spécialisées, scientifiques et techniques n.c.a.
74.91;74.91Y;Activités de courtage et de marketing de brevets
74.99;74.99Y;Toutes les autres activités spécialisées, scientifiques et techniques n.c.a.
75;;Activités vétérinaires
75.0;;Activités vétérinaires
75.00;75.00Y;Activités vétérinaires
O;;ACTIVITÉS DE SERVICE ADMINISTRATIF ET DE SOUTIEN
77;;Activités de location et location-bail
77.1;;Location et location-bail de véhicules automobiles
77.11;77.11Y;Location et location-bail de voitures et véhicules automobiles légers
77.12;77.12Y;Location et location-bail de camions
77.2;;Location et location-bail de biens personnels et domestiques
77.21;77.21Y;Location et location-bail d’articles de loisirs et de sport
77.22;77.22Y;Location et location-bail d’autres biens personnels et domestiques
77.3;;Location et location-bail d’autres machines, équipements et biens
77.31;77.31Y;Location et location-bail de matériel agricole
77.32;77.32Y;Location et location-bail de machines et équipements pour la construction et le génie civil
77.33;77.33Y;Location et location-bail de machines et équipements de bureau et d’ordinateurs
77.34;77.34Y;Location et location-bail de matériels de transport par eau
77.35;77.35Y;Location et location-bail de matériels de transport aérien
77.39;77.39Y;Location et location-bail d’autres machines, équipements et biens n.c.a.
77.4;;Location-bail de propriété intellectuelle et de produits similaires, à l’exception des œuvres soumises à copyright
77.40;;Location-bail de propriété intellectuelle et de produits similaires, à l’exception des œuvres soumises à copyright
;77.40G;Services de franchise ou de licence de marques
;77.40H;Autre location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright
77.5;;Activités de service d’intermédiation pour la location et la location-bail de biens corporels et d’immobilisations incorporelles non financières
77.51;77.51Y;Activités de service d’intermédiation pour la location et la location-bail de voitures, camping-cars et caravanes
77.52;77.52Y;Activités de service d’intermédiation pour la location et la location-bail d’autres biens corporels et d’immobilisations incorporelles non financières
78;;Activités liées à l’emploi
78.1;;Activités des agences de placement de main-d’œuvre
78.10;78.10Y;Activités des agences de placement de main-d’œuvre
78.2;;Activités d’agence de travail temporaire et autre mise à disposition de ressources humaines
78.20;;Activités d’agence de travail temporaire et autre mise à disposition de ressources humaines
;78.20G;Activités d’agence de travail temporaire
;78.20H;Autre mise à disposition de ressources humaines
79;;Activités d’agence de voyage, de voyagiste, de service de réservation et de services connexes
79.1;;Activités d’agence de voyage et de voyagiste
79.11;79.11Y;Activités d’agence de voyage
79.12;79.12Y;Activités de voyagiste
79.9;;Autres activités de service de réservation et activités connexes
79.90;79.90Y;Autres activités de service de réservation et activités connexes
80;;Activités d’investigation et de sécurité
80.0;;Activités d’investigation et de sécurité
80.01;80.01Y;Activités d’investigation et de sécurité privée
80.09;80.09Y;Activités de sécurité n.c.a.
81;;Activités de services pour les bâtiments et l’aménagement paysager
81.1;;Activités de soutien combinées pour les installations
81.10;81.10Y;Activités de soutien combinées pour les installations
81.2;;Activités de nettoyage
81.21;81.21Y;Nettoyage courant des bâtiments
81.22;81.22Y;Autres activités de nettoyage des bâtiments et nettoyage industriel
81.23;;Autres activités de nettoyage
;81.23G;Désinfection, désinsectisation, dératisation
;81.23H;Autres activités de nettoyage n.c.a.
81.3;;Activités de service d’aménagement paysager
81.30;81.30Y;Activités de service d’aménagement paysager
82;;Activités de service de bureau, de soutien administratif et d’autre soutien aux entreprises
82.1;;Activités de service de bureau et de soutien administratif
82.10;82.10Y;Activités de service de bureau et de soutien administratif
82.2;;Activités de centre d’appels
82.20;82.20Y;Activités de centre d’appels
82.3;;Organisation de salons professionnels et congrès
82.30;82.30Y;Organisation de salons professionnels et congrès
82.4;;Activités de service d’intermédiation pour des services de soutien aux entreprises n.c.a.
82.40;82.40Y;Activités de service d’intermédiation pour des services de soutien aux entreprises n.c.a.
82.9;;Activités de service de soutien aux entreprises n.c.a.
82.91;82.91Y;Activités d’agence de recouvrement et de bureau de crédit
82.92;82.92Y;Activités de conditionnement
82.99;82.99Y;Autres activités de service de soutien aux entreprises n.c.a.
P;;"ADMINISTRATION PUBLIQUE ET DÉFENSE ; SÉCURITÉ SOCIALE OBLIGATOIRE"
84;;"Administration publique et défense ; sécurité sociale obligatoire"
84.1;;Administration générale, économique et sociale et environnementale
84.11;84.11Y;Activités d’administration publique générale
84.12;84.12Y;Réglementation des soins de santé, de l’enseignement, des services culturels et des autres services sociaux
84.13;84.13Y;Réglementation et contribution à l’amélioration de l’efficacité des activités économiques
84.2;;Services de prérogative publique
84.21;84.21Y;Affaires étrangères
84.22;84.22Y;Défense
84.23;84.23Y;Justice
84.24;84.24Y;Activités d’ordre public et de sécurité civile
84.25;84.25Y;Activités de service d’incendie et de secours
84.3;;Sécurité sociale obligatoire
84.30;;Sécurité sociale obligatoire
;84.30G;Activités générales de sécurité sociale
;84.30H;Gestion des retraites complémentaires
;84.30J;Distribution sociale de revenus
Q;;ENSEIGNEMENT
85;;Enseignement
85.1;;Enseignement pré-primaire
85.10;85.10Y;Enseignement pré-primaire
85.2;;Enseignement primaire
85.20;85.20Y;Enseignement primaire
85.3;;Enseignement secondaire et enseignement post-secondaire non supérieur
